i,j,EBC,CFEdge,BridgeImpact,MinCutCrit,line_name,line_voltage,length_m
6100,6102,0.006534325889164598,0.015942928039702303,0.0,0.00016542597187758478,,275000,6191.72379106835
2215,6100,0.01282051282051282,0.012820512820513526,0.0064102564102563875,0.011248966087675765,,500000,1682.53419667202
7911,7912,0.018941273779983458,0.02214640198511202,0.0,0.00033085194375516956,新新潟幹線,500000,6878.81007061008
403,5936,0.05028949545078577,0.05028949545078632,0.02564102564102566,0.007030603804797354,西越谷線 (Nishi Koshigaya Sen),275000,2069.48886430539
403,5934,0.03796526054590571,0.0379652605459058,0.019230769230769273,0.008354011579818032,西越谷線 (Nishi Koshigaya Sen),275000;154000,109.572801514986
1171,6067,0.01282051282051282,0.012820512820514069,0.0064102564102563875,0.007196029776674938,花見川線,275000,5565.85149136198
5897,5898,0.03796526054590571,0.037965260545906133,0.019230769230769273,0.014061207609594707,,275000,3005.52684839648
1604,5914,0.008791011855527981,0.04363064907550331,0.0,0.011166253101736972,中東京幹線,275000,35318.3434014602
2069,6885,0.01282051282051282,0.012820512820513023,0.0064102564102563875,0.010504549214226633,,275000;66000,3911.83191101403
6885,8349,0.01276537082988696,0.016956162117452517,0.0,0.006038047973531845,,275000,272.954346804693
141,5499,0.03796526054590571,0.03796526054590581,0.019230769230769273,0.00794044665012407,,,204.937828035147
141,6071,0.025475599669148058,0.025475599669148235,0.012820512820512775,0.010587262200165426,江東線 (Kōtō-sen);江東線 (Kōtō-sen);江東線,275000;275000;275000,7201.49988166995
5499,6093,0.05028949545078577,0.05028949545078626,0.02564102564102566,0.008023159636062862,江東線,275000,10936.4337433684
480,5839,0.01282051282051282,0.012820512820513566,0.0064102564102563875,0.01033912324234905,,275000,9541.6572432819
6102,7912,0.0064516129032258064,0.01590157154673292,0.0,0.00041356492969396195,,275000,619.936781507703
437,5934,0.025475599669148058,0.025475599669148245,0.012820512820512775,0.011662531017369727,西越谷線 (Nishi Koshigaya Sen),275000,1761.71620249355
1175,5939,0.01282051282051282,0.012820512820513138,0.0064102564102563875,0.008933002481389578,,275000,660.405767033888
5897,5939,0.025475599669148058,0.02547559966914837,0.012820512820512775,0.009015715467328371,,275000,1238.15522256801
2036,5849,0.01282051282051282,0.012820512820513002,0.0064102564102563875,0.010835401157981803,逗子線,275000,42.5763125765748
453,5849,0.03138957816377171,0.03149986214502471,0.0,0.013730355665839538,"東京南線3,4号線",275000,13944.1498003177
6057,6093,0.062448304383788254,0.06244830438378831,0.03205128205128205,0.009429280397022333,江東線,275000,2024.98524278022
