i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
78,130,120,0.045454545454545456,20,10797.5,108369184,19197.5,298277700,0.14955163883735315,-5237.442436591022
78,115,104,0.05,20,8711.5,75281052,16861.5,247750020,0.12401629072681705,-3192.9293527175887
79,89,60,0.0,16,6521.5,41506830,11853.0,114910245,0.11215773809523809,-1220.4298997034155
79,96,90,0.0,16,8670.5,73883664,15463.5,237024576,0.06843265571335748,-1330.8390185275134
79,106,50,0.0,16,6260.5,37574604,11535.5,104171760,0.159172335600907,-1446.9456219219055
79,107,50,0.0,16,5918.5,32422032,11709.5,110056788,0.10005102040816329,-894.2213957854417
79,108,50,0.0,16,6300.5,38177244,11863.5,115265376,0.13355631141345428,-1183.2649257397923
79,109,90,0.0,16,8334.5,68821488,15451.5,236618712,0.13506809954178375,-2612.3137149951863
79,98,590,0.0,32,13017.5,139375566,65382.5,1925384994,0.061520317562517045,-79069.9506674362
80,113,55,0.0,16,6845.0,43071000,12787.0,121995120,0.0782688492063492,-881.3977569525637
80,111,70,0.0,20,9080.0,64974000,16328.0,166923328,0.1167593128119444,-2405.174162390359
81,82,30,0.0,16,4450.5,17513240,5638.5,28233800,0.1393939393939394,-426.4873911079052
81,83,30,0.0,16,4372.5,16582700,5500.5,26156900,0.16477272727272727,-459.2794511254232
81,84,12,0.0,8,3410.0,5100075,4242.0,7216475,0.19642857142857142,-201.00976724490167
82,89,30,0.0,16,4223.0,16177360,5273.5,25494840,0.13999999999999999,-409.36529967263857
82,90,25,0.0,16,2772.0,7657088,3492.0,12126464,0.1361111111111111,-294.2575317986185
82,91,50,0.0,16,6989.5,32422248,10039.0,61255152,0.15428571428571428,-1386.1404130071069
83,95,35,0.09090909090909091,16,5326.0,21884160,7150.0,37624224,0.11242424242424243,-373.6097979153589
83,96,45,0.16666666666666666,16,6294.0,27266240,8746.0,48719616,0.12247474747474746,-575.3666268758122
83,97,15,0.0,12,1755.0,2029400,2199.0,3204872,0.14880952380952378,-132.11795145663086
83,86,25,0.1111111111111111,16,2536.0,6371760,3198.0,10149920,0.14212962962962963,-202.0179762617768
84,257,12,0.0,8,3055.0,4493025,5024.5,8717310,0.1577380952380952,-170.10736726655185
85,89,30,0.0,16,4459.0,18778080,7057.5,49739400,0.11523809523809525,-356.67269144080007
85,96,45,0.0,16,6608.0,33425664,10668.0,102597120,0.09093406593406594,-642.9492985619022
85,98,295,0.0,32,10955.0,63054816,60587.0,833411280,0.03015869252793709,-31244.844854348547
86,96,45,0.07692307692307693,16,6050.0,22479936,8468.0,40926720,0.07275641025641025,-401.87288059961713
87,118,33,0.0,15,6172.0,21381840,10287.0,46023080,0.08924646781789637,-625.5259974897976
88,212,28,0.0,16,4593.0,14046624,6252.0,24064128,0.2318181818181818,-727.1001722304469
88,92,20,0.0,16,2069.0,4263600,2484.0,6158592,0.18171296296296294,-263.2895095982852
89,92,30,0.0,16,3855.0,12122000,4693.5,17612640,0.14015151515151514,-388.4864743906774
89,93,66,0.0,16,7940.0,57138700,12262.5,120475350,0.12852328431372548,-1667.8111519741408
89,94,18,0.0,12,4018.0,13918260,4985.5,21580920,0.15509259259259262,-231.3813165617577
90,97,15,0.0,12,1669.0,1903840,2077.0,2979904,0.19047619047619047,-181.01196105019864
90,92,25,0.0,16,2404.0,5737600,2912.0,8377344,0.1611111111111111,-323.39206823538456
90,246,50,0.0,20,6470.0,26945856,9131.0,48576960,0.2,-1661.8454470782574
